StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,att1,att2,combination1,combination1_DO,combination2,combination2_DO,combination3,combination3_DO,combination4,combination4_DO,combination5,combination5_DO,combination6,combination6_DO,pk_egal_1,sk_egal_1,ck_egal_1,pk_selfish_1,sk_selfish_1,ck_selfish_1,pk_alibi_1,sk_alibi_1,ck_alibi_1,comp1,comp2,FL_12_DO,FL_27_DO
1/24/23 16:20,1/24/23 16:23,0,100,195,1,1/24/23 16:23,R_3QQod0aavLc47mT,anonymous,EN,1,2,2,,,,,,,1,2|3|1,,,,,10,10,5,100,100,100,100,100,100,1,2,page1.4,page4|page3|page2
1/24/23 16:20,1/24/23 16:23,0,100,169,1,1/24/23 16:23,R_3maFjq3w6zdCwIS,anonymous,EN,1,2,2,,,,,,,,,,,2,1|3|2,38,38,17,28,31,28,25,24,28,1,2,page1.6,page4|page3|page2
1/24/23 16:22,1/24/23 16:23,0,100,83,1,1/24/23 16:23,R_3sb511BbGepOa0y,anonymous,EN,1,2,2,,,,,2,1|2|3,,,,,,,50,51,50,68,50,50,68,35,50,1,3,page1.3,page4|page3|page2
1/24/23 16:22,1/24/23 16:24,0,100,146,1,1/24/23 16:24,R_s54O5arJLUOal0t,anonymous,EN,1,2,2,,,,,,,,,,,1,3|2|1,32,36,36,70,71,73,74,73,76,1,3,page1.6,page3|page4|page2
1/24/23 16:23,1/24/23 16:25,0,100,110,1,1/24/23 16:25,R_30w5VXBJ9ahq9pI,anonymous,EN,1,2,2,,,,,,,3,2|3|1,,,,,25,9,9,55,57,55,61,61,63,1,2,page1.4,page2|page3|page4
1/24/23 16:22,1/24/23 16:25,0,100,175,1,1/24/23 16:25,R_9YRs0R3ACF3JhBv,anonymous,EN,1,2,2,,,,,,,1,2|3|1,,,,,20,20,20,70,70,70,75,75,75,1,2,page1.4,page3|page2|page4
1/24/23 16:22,1/24/23 16:26,0,100,197,1,1/24/23 16:26,R_PRFzDaOm8yGJy8h,anonymous,EN,1,2,2,,,3,2|1|3,,,,,,,,,23,24,16,26,21,20,27,23,24,1,3,page1.2,page4|page3|page2
1/24/23 16:22,1/24/23 16:26,0,100,219,1,1/24/23 16:26,R_psetQWemOU6ckzT,anonymous,EN,1,2,2,3,1|2|3,,,,,,,,,,,27,0,0,86,87,96,64,69,94,1,2,page1.1,page4|page3|page2
1/24/23 16:22,1/24/23 16:26,0,100,215,1,1/24/23 16:26,R_sLK6lPwb6qZdK6J,anonymous,EN,1,2,2,,,,,,,,,1,1|3|2,,,0,0,0,0,0,0,0,0,0,1,2,page1.5,page4|page3|page2
1/24/23 16:25,1/24/23 16:26,0,100,39,1,1/24/23 16:26,R_2zwGt1STD1Cqm2T,anonymous,EN,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
